"","latitude","longitude","depth","mb","name","source","Country","datetime","max_yield","medium","confirmation","salvo"
"204",-21.769,-138.874,0,4.4,"Dirce","AWE-JED","France","6/6/1987 6:00:01 PM",20,"Underground","confirmed",0
"205",-21.865,-138.891,0,5.1,"Iphpitos","AWE-JED","France","6/21/1987 5:55:00 PM",150,"Underground","confirmed",0
"206",-21.845,-138.907,0,5.54,"Helenos","AWE-JED","France","10/23/1987 4:50:00 PM",150,"Underground","confirmed",0
"207",-21.791,-138.874,0,5.36,"Pasiphae","AWE-JED","France","11/5/1987 5:30:00 PM",20,"Underground","confirmed",0
"208",-21.845,-138.941,0,5.74,"Pelee","AWE-JED","France","11/19/1987 4:31:00 PM",150,"Underground","confirmed",0
"209",-22,-139,0,NA,"Danae","CEA/DAM","France","11/29/1987 5:59:00 PM",20,"Underground","confirmed",0
"210",-21.833,-138.945,0,5.27,"Nelee","AWE-JED","France","5/11/1988 5:00:00 PM",150,"Underground","confirmed",0
"211",-21.845,-138.961,0,5.5,"Niobe","AWE-JED","France","5/25/1988 5:01:00 PM",150,"Underground","confirmed",0
"212",-21.75,-139,0,4.8,"Antigone","TCARTER","France","6/16/1988 5:15:00 PM",5,"Underground","confirmed",0
"213",-21.846,-138.911,0,5.18,"Dejanire","AWE-JED","France","6/23/1988 5:31:00 PM",20,"Underground","confirmed",0
"214",-22,-139,0,NA,"Acrisios","CEA/DAM","France","10/25/1988 5:00:00 PM",5,"Underground","confirmed",0
"215",-21.793,-138.987,0,5.3,"Thrasymedes","AWE-JED","France","11/5/1988 4:30:00 PM",150,"Underground","confirmed",0
"216",-21.835,-138.954,0,5.29,"Pheres","AWE-JED","France","11/23/1988 5:01:00 PM",150,"Underground","confirmed",0
"217",-22.233,-138.74,0,5.58,"Cycnos","AWE-JED","France","11/30/1988 5:55:00 PM",150,"Underground","confirmed",0
"218",-21.812,-138.884,0,5.16,"Epeios","AWE-JED","France","5/11/1989 4:45:00 PM",20,"Underground","confirmed",0
"219",-22,-139,0,NA,"Tecmessa","CEA/DAM","France","5/20/1989 5:59:00 PM",5,"Underground","confirmed",0
"220",-21.842,-138.922,0,5.16,"Nyctee","AWE-JED","France","6/3/1989 5:30:00 PM",150,"Underground","confirmed",0
"221",-22.217,-138.721,0,5.52,"Cyzicos","AWE-JED","France","6/10/1989 5:30:00 PM",150,"Underground","confirmed",0
"222",-21.852,-138.912,0,5.37,"Hypsipyle","AWE-JED","France","10/24/1989 4:30:00 PM",150,"Underground","confirmed",0
"223",-21.793,-138.855,0,5.3,"Erigone","AWE-JED","France","10/31/1989 4:57:00 PM",20,"Underground","confirmed",0
"224",-21.793,-138.884,0,5.19,"Tros","AWE-JED","France","11/20/1989 5:29:00 PM",20,"Underground","confirmed",0
"225",-22.251,-138.722,0,5.59,"Lycos","AWE-JED","France","11/27/1989 5:00:00 PM",150,"Underground","confirmed",0
"226",-21.877,-138.918,0,5.3,"Telephe","PDE","France","6/2/1990 5:29:58 PM",20,"Underground","confirmed",0
